Sku
"00039 3   10"
"00039 3   16"
"00039 3   20"
"00039 3   25"
"00039 4   10"
"00039 4   16"
"00039 4   20"
"00039 4   25"
"00039 5   10"
"00039 5   16"
"00039 5   20"
"00039 5   25"
"00039 6   16"
"00039 6   20"
"00039 6   30"
"00039 6   40"
"00039 6   50"
"00039 6   60"
"00040 2   20"
"00040 3   10"
"00040 3   16"
"00040 3   20"
"00040 3   25"
"00040 3   45"
"00040 3   60"
"00040 4   10"
"00040 4   16"
"00040 4   20"
"00040 4   25"
"00040 4   30"
"00040 4   40"
"00040 4   50"
"00040 4   6"
"00040 4   60"
"00040 5   10"
"00040 5   12"
"00040 5   16"
"00040 5   20"
"00040 5   25"
"00040 5   30"
"00040 5   35"
"00040 5   40"
"00040 5   45"
"00040 5   50"
"00040 5   60"
"00040 5   80"
"00040 6   10"
"00040 6   12"
"00040 6   16"
"00040 6   20"
"00040 6   25"
"00040 6   30"
"00040 6   40"
"00040 6   50"
"00040 6   60"
"00040 6   70"
"00046 4   10"
"00046 4   16"
"00046 4   20"
"00046 4   6"
"00046 5   10"
"00046 5   12"
"00046 5   16"
"00046 5   20"
"00046 5   25"
"00046 5   30"
"00046 5   35"
"00046 5   45"
"00046 6   10"
"00046 6   16"
"00046 6   20"
"00046 6   25"
"00046 6   30"
"00046 6   50"
"00046 8   20"
"00046 8   30"
"00048 4   10"
"00048 4   16"
"00048 4   20"
"00048 4   25"
"00048 5   10"
"00048 5   16"
"00048 5   20"
"00048 5   40"
"00048 6   10"
"00048 6   16"
"00048 6   20"
"00048 6   25"
"00048 6   30"
"00048 6   40"
"00048 8   30"
"00053 10  100"
"00053 10  120"
"00053 10  130"
"00053 10  140"
"00053 10  40"
"00053 10  45"
"00053 10  50"
"00053 10  60"
"00053 10  70"
"00053 10  75"
"00053 10  80"
"00053 10  90"
"00053 12  45"
"00053 12  50"
"00053 12  65"
"00053 12  75"
"00053 12  90"
"00053 14  100"
"00053 14  50"
"00053 14  60"
"00053 14  70"
"00053 14  80"
"00053 14  90"
"00053 16  100"
"00053 16  140"
"00053 16  150"
"00053 16  50"
"00053 16  60"
"00053 16  65"
"00053 16  70"
"00053 16  75"
"00053 18  110"
"00053 20  100"
"00053 20  120"
"00053 20  140"
"00053 20  65"
"00053 20  80"
"00053 6   30"
"00053 6   40"
"00053 6   50"
"00053 8   100"
"00053 8   120"
"00053 8   130"
"00053 8   140"
"00053 8   35"
"00053 8   40"
"00053 8   45"
"00053 8   50"
"00053 8   55"
"00053 8   60"
"00053 8   80"
"00053 8   90"
"00057 10  100"
"00057 10  16"
"00057 10  20"
"00057 10  25"
"00057 10  30"
"00057 10  35"
"00057 10  40"
"00057 10  45"
"00057 10  50"
"00057 10  55"
"00057 10  60"
"00057 10  65"
"00057 10  70"
"00057 10  75"
"00057 10  80"
"00057 12  100"
"00057 12  110"
"00057 12  20"
"00057 12  25"
"00057 12  30"
"00057 12  35"
"00057 12  40"
"00057 12  45"
"00057 12  50"
"00057 12  55"
"00057 12  60"
"00057 12  65"
"00057 12  70"
"00057 12  80"
"00057 14  25"
"00057 14  30"
"00057 14  40"
"00057 14  50"
"00057 14  60"
"00057 14  80"
"00057 14  90"
"00057 16  100"
"00057 16  25"
"00057 16  30"
"00057 16  40"
"00057 16  45"
"00057 16  50"
"00057 16  55"
"00057 16  70"
"00057 16  80"
"00057 18  100"
"00057 18  40"
"00057 18  50"
"00057 18  60"
"00057 18  80"
"00057 3   20"
"00057 4   12"
"00057 4   16"
"00057 4   20"
"00057 4   25"
"00057 4   30"
"00057 4   40"
"00057 5   10"
"00057 5   12"
"00057 5   16"
"00057 5   20"
"00057 5   25"
"00057 5   30"
"00057 5   35"
"00057 5   40"
"00057 5   50"
"00057 5   60"
"00057 6   10"
"00057 6   100"
"00057 6   12"
"00057 6   16"
"00057 6   18"
"00057 6   20"
"00057 6   25"
"00057 6   30"
"00057 6   35"
"00057 6   40"
"00057 6   45"
"00057 6   50"
"00057 6   55"
"00057 6   60"
"00057 6   70"
"00057 6   80"
"00057 8   100"
"00057 8   16"
"00057 8   20"
"00057 8   25"
"00057 8   30"
"00057 8   35"
"00057 8   40"
"00057 8   45"
"00057 8   50"
"00057 8   55"
"00057 8   60"
"00057 8   65"
"00057 8   70"
"00057 8   75"
"00057 8   80"
"00057 8   90"
"00071 12  112"
"00071 12  2"
"00071 14  1"
"00071 14  2"
"00071 14  34"
"00071 38  1"
"00071 38  112"
"00071 38  114"
"00071 38  2"
"00071 38  212"
"00071 38  3"
"00071 516 1"
"00071 516 112"
"00071 516 114"
"00071 516 34"
"00071 716 112"
"00072 12  112"
"00072 14  1"
"00072 14  112"
"00072 14  12"
"00072 14  2"
"00072 14  34"
"00072 34  2"
"00072 38  1"
"00072 38  112"
"00072 38  114"
"00072 38  2"
"00072 38  212"
"00072 38  3"
"00072 516 1"
"00072 516 112"
"00072 516 12"
"00072 516 2"
"00072 516 212"
"00072 516 34"
"00072 58  2"
"00072 716 1"
"00072 716 112"
"00072 716 2"
"00072 916 2"
"00084 10  30"
"00084 10  35"
"00084 12  30"
"00084 12  40"
"00084 4   10"
"00084 4   16"
"00084 4   20"
"00084 5   10"
"00084 5   16"
"00084 5   20"
"00084 5   25"
"00084 5   30"
"00084 5   50"
"00084 6   10"
"00084 6   16"
"00084 6   20"
"00084 6   25"
"00084 6   30"
"00084 6   40"
"00084 6   45"
"00084 6   50"
"00084 6   60"
"00084 8   16"
"00084 8   20"
"00084 8   25"
